Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_turn+,0.365019,0.4745223,0.4979757,0.5225225,0.4054054,0.37060705,0.44345897,0.42038217,0.44827586,0.5070422
F1_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classification_Accuracy,0.806739,0.80796254,0.8260527,0.8503968,0.84113646,0.82115084,0.83339864,0.86131966,0.8438247,0.81719565
F1_turn-,0.45289257,0.37818182,0.38728327,0.43500003,0.49635035,0.46376812,0.546875,0.45182726,0.5530973,0.4103512
Recall_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision_dash,0.87144166,0.8938307,0.8954034,0.88974243,0.90292615,0.8712427,0.8811927,0.8961892,0.8712466,0.8565479
Recall_turn+,0.28070176,0.5302491,0.50409836,0.51785713,0.45918366,0.4,0.41322315,0.42038217,0.43333334,0.42857143
Recall_turn-,0.4675768,0.34437087,0.35828876,0.3372093,0.38636363,0.36363637,0.47297296,0.32380953,0.40584415,0.33534744
Precision_turn+,0.5217391,0.4293948,0.492,0.5272727,0.36290324,0.3452381,0.4784689,0.42038217,0.4642857,0.62068963
Precision_turn-,0.43910256,0.41935483,0.42138365,0.6126761,0.6938776,0.64,0.6481481,0.74725276,0.8680556,0.5285714
Global_F1,0.4264662,0.43477905,0.44653893,0.46817452,0.45264792,0.43299866,0.4728943,0.44845775,0.47729278,0.45300713
Recall_dash,0.90510255,0.8791157,0.9064577,0.94210523,0.91482353,0.92564344,0.92222756,0.9485396,0.9475507,0.9362671
Precision_kick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1_dash,0.8879532,0.88641214,0.90089667,0.9151755,0.9088359,0.89761955,0.9012432,0.92162156,0.907798,0.8946351
