Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4
F1_turn,0.9918611,0.9868735,0.9939923,0.99695307,0.9943503
F1_kick,0.8539326,0.54545456,0.7058823,0.8148148,0.8666666
Classification_Accuracy,0.9950611,0.99401665,0.996857,0.9984297,0.9973705
Global_F1,0.94801944,0.84388596,0.89978486,0.93714434,0.95355695
Recall_kick,0.84444445,0.4,0.75,0.84615386,0.8965517
Precision_dash,0.9968804,0.99932975,0.99896085,0.99933064,0.9993077
Recall_dash,0.99965245,0.99932975,1.0,1.0,1.0
Precision_kick,0.8636364,0.85714287,0.6666667,0.78571427,0.83870965
Recall_turn,0.9881081,0.9963855,0.9912854,0.9951338,0.9921082
F1_dash,0.9982645,0.99932975,0.9994801,0.9996652,0.99965376
Precision_turn,0.9956427,0.9775414,0.9967141,0.998779,0.9966025
